"country_name","p_year","country","origin","share","country_id"
"Canada",1994,"CA","SouthEastAsia",0.0199041126016895,2
"Canada",1994,"CA","Turkey",0.00575442686801432,2
"Canada",2007,"CA","Turkey",0.00831078466813655,2
"Canada",1991,"CA","Slavic-Russian",0.00607728743256028,2
"Canada",2009,"CA","China",0.0635966587305252,2
"Canada",1996,"CA","Persian",0.00753243829257765,2
"Canada",1997,"CA","India",0.0231502310444955,2
"Canada",1985,"CA","Arabic",0.0146426251629331,2
"Canada",1998,"CA","Arabic",0.0126483342912809,2
"Canada",1985,"CA","Persian",0.00974295193724153,2
"Canada",1993,"CA","Slavic-Russian",0.00614580583809205,2
"Canada",1985,"CA","Slavic-Russian",0.00700064314668036,2
"Canada",1999,"CA","China",0.0548048814182632,2
"Canada",1986,"CA","Persian",0.0103887565627465,2
"Canada",1987,"CA","Arabic",0.0127762187541694,2
"Canada",2000,"CA","Arabic",0.0192301869908402,2
"Canada",1995,"CA","Slavic-Russian",0.0113448857576689,2
"Canada",1988,"CA","Arabic",0.0109489423388699,2
"Canada",2001,"CA","Arabic",0.0242334839208295,2
"Canada",2001,"CA","China",0.0545964155795209,2
"Canada",1988,"CA","Persian",0.00900810570664702,2
"Canada",2000,"CA","Turkey",0.0102140516013541,2
"Canada",2013,"CA","Turkey",0.00931255230409041,2
"Canada",2002,"CA","China",0.0546684416881736,2
"Canada",1989,"CA","Persian",0.00848701247070115,2
"Canada",1989,"CA","Slavic-Russian",0.00564838548577512,2
"Canada",1989,"CA","SouthEastAsia",0.0305727702145849,2
"Canada",1989,"CA","Turkey",0.00518559975074362,2
"Canada",1990,"CA","SouthEastAsia",0.02136786532546,2
"Canada",1990,"CA","Turkey",0.00950168406123854,2
"Canada",2003,"CA","Turkey",0.00639096509682903,2
"Canada",2004,"CA","Persian",0.0187947567660561,2
"Canada",2005,"CA","China",0.0618856646745028,2
"Canada",1992,"CA","Persian",0.0113581787853172,2
"Canada",2005,"CA","India",0.0405743588249451,2
"Canada",1992,"CA","SouthEastAsia",0.0166317406271969,2
"Canada",1992,"CA","Turkey",0.0103409695836792,2
"Canada",2005,"CA","Turkey",0.00794696272437456,2
"Canada",1993,"CA","SouthEastAsia",0.016593575208652,2
"Canada",1993,"CA","Turkey",0.0070498344105108,2
"Canada",2006,"CA","Turkey",0.00961171344392932,2
"Canada",2007,"CA","Slavic-Russian",0.0258941619483279,2
"Canada",2008,"CA","India",0.0414500680531912,2
"Canada",2000,"CA","China",0.0473065350823463,2
"Canada",1995,"CA","SouthEastAsia",0.0185538189700804,2
"Canada",1995,"CA","Turkey",0.00725746382811022,2
"Canada",2008,"CA","Turkey",0.00950432146355393,2
"Canada",2010,"CA","China",0.062362875247549,2
"Canada",1997,"CA","Persian",0.0186356852610461,2
"Canada",2011,"CA","Arabic",0.0218017078968572,2
"Canada",1998,"CA","India",0.0353648389860603,2
"Canada",1986,"CA","Arabic",0.00700707216714609,2
"Canada",1999,"CA","Arabic",0.0218769918858812,2
"Canada",2012,"CA","Arabic",0.03333494909787,2
"Canada",1999,"CA","India",0.0279701769526972,2
"Canada",1986,"CA","Slavic-Russian",0.0137094623496016,2
"Canada",2015,"CA","Turkey",0.0121225752226476,2
"Canada",1987,"CA","Persian",0.00773094347090502,2
"Canada",1987,"CA","Slavic-Russian",0.00847965095734505,2
"Canada",1987,"CA","SouthEastAsia",0.0239446942158879,2
"Canada",1987,"CA","Turkey",0.0144463670593942,2
"Canada",1989,"CA","Arabic",0.011206595777806,2
"Canada",2002,"CA","Arabic",0.0212361568657443,2
"Canada",2001,"CA","Slavic-Russian",0.0200234878261583,2
"Canada",2001,"CA","SouthEastAsia",0.0211167048457324,2
"Canada",2014,"CA","SouthEastAsia",0.0215360849153215,2
"Canada",2002,"CA","Persian",0.0166857348538972,2
"Canada",2002,"CA","Slavic-Russian",0.0232894478613963,2
"Canada",2002,"CA","Turkey",0.0102769658483437,2
"Canada",2007,"CA","SouthEastAsia",0.0289425340130379,2
"Canada",2004,"CA","India",0.0381249802693888,2
"Canada",2008,"CA","Persian",0.0237298688989986,2
"Canada",2004,"CA","Slavic-Russian",0.0227749441897512,2
"Canada",2004,"CA","SouthEastAsia",0.0254660255710661,2
"Canada",1996,"CA","Slavic-Russian",0.0136798217668409,2
"Canada",2005,"CA","Persian",0.0228032850561866,2
"Canada",2005,"CA","Slavic-Russian",0.0234484997690404,2
"Canada",2006,"CA","India",0.0351028532379142,2
"Canada",2006,"CA","Persian",0.0227473238692612,2
"Canada",2006,"CA","Slavic-Russian",0.0255188456663256,2
"Canada",2007,"CA","Persian",0.024545944731595,2
"Canada",1985,"CA","Turkey",0.00695287534611801,2
"Canada",1998,"CA","Turkey",0.0073544530605213,2
"Canada",2011,"CA","Turkey",0.0081714037790644,2
"Canada",2013,"CA","Arabic",0.0326038080173051,2
"Canada",2008,"CA","Slavic-Russian",0.0213771879920111,2
"Canada",2009,"CA","India",0.0416187627581161,2
"Canada",2014,"CA","Arabic",0.0284518313386857,2
"Canada",1996,"CA","SouthEastAsia",0.0152952845129607,2
"Canada",2010,"CA","India",0.0569849874591239,2
"Canada",1997,"CA","Slavic-Russian",0.0131643010024318,2
"Canada",2011,"CA","China",0.0630722818220052,2
"Canada",1998,"CA","Persian",0.0121971948535568,2
"Canada",1985,"CA","SouthEastAsia",0.0111461794094808,2
"Canada",2015,"CA","India",0.0593720171898007,2
"Canada",2003,"CA","Persian",0.0167615222308707,2
"Canada",2003,"CA","Slavic-Russian",0.0250013070932155,2
"Canada",2003,"CA","SouthEastAsia",0.024372767807625,2
"Canada",2000,"CA","India",0.0283572102196477,2
"Canada",2000,"CA","Persian",0.0164700060249638,2
"Canada",2008,"CA","SouthEastAsia",0.0262156595525559,2
"Canada",2001,"CA","India",0.0333466488668754,2
"Canada",2001,"CA","Persian",0.0182072238663421,2
"Canada",2014,"CA","India",0.0565948551664325,2
"Canada",2015,"CA","Arabic",0.0328900304033015,2
"Canada",2002,"CA","India",0.0351529852465256,2
"Canada",2015,"CA","China",0.0546556069574377,2
"Canada",2006,"CA","SouthEastAsia",0.0240892551861426,2
"Canada",1998,"CA","Slavic-Russian",0.0134747053522386,2
"Canada",2012,"CA","China",0.0580818250975421,2
"Canada",1999,"CA","Persian",0.0172096024245898,2
"Canada",1986,"CA","SouthEastAsia",0.0220027754312376,2
"Canada",1986,"CA","Turkey",0.00788457738636165,2
"Canada",1999,"CA","Turkey",0.00677070977401598,2
"Canada",2000,"CA","Slavic-Russian",0.0210791569916757,2
"Canada",2009,"CA","Persian",0.032254211843742,2
"Canada",1996,"CA","Turkey",0.00684452889850219,2
"Canada",2005,"CA","SouthEastAsia",0.0256202319276697,2
"Canada",1997,"CA","SouthEastAsia",0.0209647465701634,2
"Canada",1997,"CA","Turkey",0.00629332281209799,2
"Canada",2010,"CA","Turkey",0.00876988324088367,2
"Canada",2011,"CA","India",0.0466632414796127,2
"Canada",2002,"CA","SouthEastAsia",0.0207969505311284,2
"Canada",2015,"CA","SouthEastAsia",0.0252122045396941,2
"Canada",2011,"CA","SouthEastAsia",0.0243975353707117,2
"Canada",2012,"CA","India",0.0577433262162927,2
"Canada",1999,"CA","Slavic-Russian",0.0167208045483094,2
"Canada",2013,"CA","China",0.0631358413595463,2
"Canada",2000,"CA","SouthEastAsia",0.0234962730334687,2
"Canada",2013,"CA","SouthEastAsia",0.0271889842931103,2
"Canada",2009,"CA","Turkey",0.00932700021426736,2
"Canada",2014,"CA","Persian",0.0439755412045926,2
"Canada",2014,"CA","Slavic-Russian",0.027324493647498,2
"Canada",2010,"CA","Slavic-Russian",0.0320762889482337,2
"Canada",2011,"CA","Slavic-Russian",0.0272397055352228,2
"Canada",2010,"CA","SouthEastAsia",0.0265403460524456,2
"Canada",1998,"CA","SouthEastAsia",0.0183696370941179,2
"Canada",2015,"CA","Slavic-Russian",0.020782475696824,2
"Canada",2013,"CA","Persian",0.036925792400257,2
"Canada",2009,"CA","Slavic-Russian",0.0245483432028198,2
"Canada",2009,"CA","SouthEastAsia",0.0236249880447164,2
"Canada",2012,"CA","Turkey",0.00999548454105255,2
"Canada",2011,"CA","Persian",0.0324076443412294,2
"Canada",2013,"CA","India",0.0580318809147727,2
"Canada",2014,"CA","China",0.0534100271427469,2
"Canada",2010,"CA","Persian",0.0291711965340115,2
"Canada",1999,"CA","SouthEastAsia",0.025312295753239,2
"Canada",2012,"CA","Persian",0.0368985701319451,2
"Canada",2015,"CA","Persian",0.056539376997015,2
"Canada",2012,"CA","Slavic-Russian",0.0249603282489662,2
"Canada",2013,"CA","Slavic-Russian",0.0258488903611662,2
"Canada",2012,"CA","SouthEastAsia",0.0263790753225412,2
"Denmark",1988,"DK","China",0.00039401224685795,12
"Denmark",1987,"DK","India",0.000758156216644903,12
"Denmark",1988,"DK","India",0.00202588415045498,12
"Denmark",1985,"DK","Persian",0.000123853809135818,12
"Denmark",1988,"DK","Persian",0.000102671921509659,12
"Denmark",2001,"DK","China",0.00162331129447273,12
"Denmark",1990,"DK","Persian",0.000373868173376306,12
"Denmark",1986,"DK","SouthEastAsia",0.000753487855282673,12
"Denmark",1987,"DK","Slavic-Russian",0.00130275229479905,12
"Denmark",1989,"DK","Persian",5.48691935926887e-05,12
"Denmark",1988,"DK","Arabic",0.000269229589664145,12
"Denmark",1991,"DK","China",0.00545260139473347,12
"Denmark",1991,"DK","India",0.00639724026269661,12
"Denmark",1987,"DK","Persian",0.00038098508538355,12
"Denmark",1985,"DK","India",0.000778871367339048,12
"Denmark",2002,"DK","China",0.00365937791236895,12
"Denmark",1990,"DK","China",0.00314232850715617,12
"Denmark",1989,"DK","India",0.000699897416230327,12
"Denmark",1990,"DK","India",0.00033349319752497,12
"Denmark",1986,"DK","India",0.000484601994939908,12
"Denmark",1986,"DK","Persian",0.000195257007637083,12
"Denmark",1991,"DK","Arabic",0.00178119039717236,12
"Denmark",1987,"DK","China",0.000633864347434001,12
"Denmark",2000,"DK","China",0.0010806864629077,12
"Denmark",1987,"DK","SouthEastAsia",0.000755984996786795,12
"Denmark",2001,"DK","India",0.00162732990482822,12
"Denmark",1988,"DK","Slavic-Russian",0.00172140632762494,12
"Denmark",1989,"DK","China",0.000375917792682146,12
"Denmark",1985,"DK","China",0.000313952203909717,12
"Denmark",1998,"DK","China",0.000279532405661946,12
"Denmark",1989,"DK","Slavic-Russian",0.000957350601803994,12
"Denmark",1990,"DK","Arabic",0.000351861000935216,12
"Denmark",2003,"DK","Arabic",0.00111193247313395,12
"Denmark",2003,"DK","China",0.00326281742839696,12
"Denmark",1995,"DK","China",0.00529146576218777,12
"Denmark",2004,"DK","Arabic",0.00147422967589049,12
"Denmark",1991,"DK","Persian",0.000403725772207557,12
"Denmark",2000,"DK","India",0.000819465772444746,12
"Denmark",2001,"DK","Arabic",0.0039538409671633,12
"Denmark",2014,"DK","Arabic",0.00437142003875985,12
"Denmark",2014,"DK","China",0.013981017951929,12
"Denmark",2001,"DK","Persian",0.00505805078419667,12
"Denmark",1988,"DK","SouthEastAsia",0.0014041809794584,12
"Denmark",2002,"DK","India",0.00223130320067003,12
"Denmark",1994,"DK","China",0.00152380627623523,12
"Denmark",1985,"DK","SouthEastAsia",0.00150493366575861,12
"Denmark",1998,"DK","Slavic-Russian",0.00705736157667547,12
"Denmark",1985,"DK","Turkey",0.00188239878344813,12
"Denmark",1986,"DK","Slavic-Russian",0.000648732259756346,12
"Denmark",1999,"DK","Persian",0.00406151874444295,12
"Denmark",1999,"DK","Slavic-Russian",0.00687497203053096,12
